date,close
2000-01-03,1455.219971
2000-01-04,1399.420044
2000-01-05,1402.109985
2000-01-06,1403.449951
2000-01-07,1441.469971
2000-01-10,1457.599976
2000-01-11,1438.560059
2000-01-12,1432.25
2000-01-13,1449.680054
2000-01-14,1465.150024
2000-01-18,1455.140015
2000-01-19,1455.900024
2000-01-20,1445.569946
2000-01-21,1441.359985
2000-01-24,1401.530029
2000-01-25,1410.030029
2000-01-26,1404.089966
2000-01-27,1398.560059
2000-01-28,1360.160034
2000-01-31,1394.459961
2000-02-01,1409.280029
2000-02-02,1409.119995
2000-02-03,1424.969971
2000-02-04,1424.369995
2000-02-07,1424.23999
2000-02-08,1441.719971
2000-02-09,1411.709961
2000-02-10,1416.829956
2000-02-11,1387.119995
2000-02-14,1389.939941
2000-02-15,1402.050049
2000-02-16,1387.670044
2000-02-17,1388.26001
2000-02-18,1346.089966
2000-02-22,1352.170044
2000-02-23,1360.689941
2000-02-24,1353.430054
2000-02-25,1333.359985
2000-02-28,1348.050049
2000-02-29,1366.420044
2000-03-01,1379.189941
2000-03-02,1381.76001
2000-03-03,1409.170044
2000-03-06,1391.280029
2000-03-07,1355.619995
2000-03-08,1366.699951
2000-03-09,1401.689941
2000-03-10,1395.069946
2000-03-13,1383.619995
2000-03-14,1359.150024
2000-03-15,1392.140015
2000-03-16,1458.469971
2000-03-17,1464.469971
2000-03-20,1456.630005
2000-03-21,1493.869995
2000-03-22,1500.640015
2000-03-23,1527.349976
2000-03-24,1527.459961
2000-03-27,1523.859985
2000-03-28,1507.72998
2000-03-29,1508.52002
2000-03-30,1487.920044
2000-03-31,1498.579956
2000-04-03,1505.969971
2000-04-04,1494.72998
2000-04-05,1487.369995
2000-04-06,1501.339966
2000-04-07,1516.349976
2000-04-10,1504.459961
2000-04-11,1500.589966
2000-04-12,1467.170044
2000-04-13,1440.51001
2000-04-14,1356.560059
2000-04-17,1401.439941
2000-04-18,1441.609985
2000-04-19,1427.469971
2000-04-20,1434.540039
2000-04-24,1429.859985
2000-04-25,1477.439941
2000-04-26,1460.98999
2000-04-27,1464.920044
2000-04-28,1452.430054
2000-05-01,1468.25
2000-05-02,1446.290039
2000-05-03,1415.099976
2000-05-04,1409.569946
2000-05-05,1432.630005
2000-05-08,1424.170044
2000-05-09,1412.140015
2000-05-10,1383.050049
2000-05-11,1407.810059
2000-05-12,1420.959961
2000-05-15,1452.359985
2000-05-16,1466.040039
2000-05-17,1447.800049
2000-05-18,1437.209961
2000-05-19,1406.949951
2000-05-22,1400.719971
2000-05-23,1373.859985
2000-05-24,1399.050049
2000-05-25,1381.52002
2000-05-26,1378.02002
2000-05-30,1422.449951
2000-05-31,1420.599976
2000-06-01,1448.810059
2000-06-02,1477.26001
2000-06-05,1467.630005
2000-06-06,1457.839966
2000-06-07,1471.359985
2000-06-08,1461.670044
2000-06-09,1456.949951
2000-06-12,1446
2000-06-13,1469.439941
2000-06-14,1470.540039
2000-06-15,1478.72998
2000-06-16,1464.459961
2000-06-19,1486
2000-06-20,1475.949951
2000-06-21,1479.130005
2000-06-22,1452.180054
2000-06-23,1441.47998
2000-06-26,1455.310059
2000-06-27,1450.550049
2000-06-28,1454.819946
2000-06-29,1442.390015
2000-06-30,1454.599976
2000-07-03,1469.540039
2000-07-05,1446.22998
2000-07-06,1456.670044
2000-07-07,1478.900024
2000-07-10,1475.619995
2000-07-11,1480.880005
2000-07-12,1492.920044
2000-07-13,1495.839966
2000-07-14,1509.97998
2000-07-17,1510.48999
2000-07-18,1493.73999
2000-07-19,1481.959961
2000-07-20,1495.569946
2000-07-21,1480.189941
2000-07-24,1464.290039
2000-07-25,1474.469971
2000-07-26,1452.420044
2000-07-27,1449.619995
2000-07-28,1419.890015
2000-07-31,1430.829956
2000-08-01,1438.099976
2000-08-02,1438.699951
2000-08-03,1452.560059
2000-08-04,1462.930054
2000-08-07,1479.319946
2000-08-08,1482.800049
2000-08-09,1472.869995
2000-08-10,1460.25
2000-08-11,1471.839966
2000-08-14,1491.560059
2000-08-15,1484.430054
2000-08-16,1479.849976
2000-08-17,1496.069946
2000-08-18,1491.719971
2000-08-21,1499.47998
2000-08-22,1498.130005
2000-08-23,1505.969971
2000-08-24,1508.310059
2000-08-25,1506.449951
2000-08-28,1514.089966
2000-08-29,1509.839966
2000-08-30,1502.589966
2000-08-31,1517.680054
2000-09-01,1520.77002
2000-09-05,1507.079956
2000-09-06,1492.25
2000-09-07,1502.51001
2000-09-08,1494.5
2000-09-11,1489.26001
2000-09-12,1481.98999
2000-09-13,1484.910034
2000-09-14,1480.869995
2000-09-15,1465.810059
2000-09-18,1444.51001
2000-09-19,1459.900024
2000-09-20,1451.339966
2000-09-21,1449.050049
2000-09-22,1448.719971
2000-09-25,1439.030029
2000-09-26,1427.209961
2000-09-27,1426.569946
2000-09-28,1458.290039
2000-09-29,1436.51001
2000-10-02,1436.22998
2000-10-03,1426.459961
2000-10-04,1434.319946
2000-10-05,1436.280029
2000-10-06,1408.98999
2000-10-09,1402.030029
2000-10-10,1387.02002
2000-10-11,1364.589966
2000-10-12,1329.780029
2000-10-13,1374.170044
2000-10-16,1374.619995
2000-10-17,1349.969971
2000-10-18,1342.130005
2000-10-19,1388.76001
2000-10-20,1396.930054
2000-10-23,1395.780029
2000-10-24,1398.130005
2000-10-25,1364.900024
2000-10-26,1364.439941
2000-10-27,1379.579956
2000-10-30,1398.660034
2000-10-31,1429.400024
2000-11-01,1421.219971
2000-11-02,1428.319946
2000-11-03,1426.689941
2000-11-06,1432.189941
2000-11-07,1431.869995
2000-11-08,1409.280029
2000-11-09,1400.140015
2000-11-10,1365.97998
2000-11-13,1351.26001
2000-11-14,1382.949951
2000-11-15,1389.810059
2000-11-16,1372.319946
2000-11-17,1367.719971
2000-11-20,1342.619995
2000-11-21,1347.349976
2000-11-22,1322.359985
2000-11-24,1341.77002
2000-11-27,1348.969971
2000-11-28,1336.089966
2000-11-29,1341.930054
2000-11-30,1314.949951
2000-12-01,1315.22998
2000-12-04,1324.969971
2000-12-05,1376.540039
2000-12-06,1351.459961
2000-12-07,1343.550049
2000-12-08,1369.890015
2000-12-11,1380.199951
2000-12-12,1371.180054
2000-12-13,1359.98999
2000-12-14,1340.930054
2000-12-15,1312.150024
2000-12-18,1322.73999
2000-12-19,1305.599976
2000-12-20,1264.73999
2000-12-21,1274.859985
2000-12-22,1305.949951
2000-12-26,1315.189941
2000-12-27,1328.920044
2000-12-28,1334.219971
2000-12-29,1320.280029
2001-01-02,1283.27002
2001-01-03,1347.560059
2001-01-04,1333.339966
2001-01-05,1298.349976
2001-01-08,1295.859985
2001-01-09,1300.800049
2001-01-10,1313.27002
2001-01-11,1326.819946
2001-01-12,1318.550049
2001-01-16,1326.650024
2001-01-17,1329.469971
2001-01-18,1347.969971
2001-01-19,1342.540039
2001-01-22,1342.900024
2001-01-23,1360.400024
2001-01-24,1364.300049
2001-01-25,1357.51001
2001-01-26,1354.949951
2001-01-29,1364.170044
2001-01-30,1373.72998
2001-01-31,1366.01001
2001-02-01,1373.469971
2001-02-02,1349.469971
2001-02-05,1354.310059
2001-02-06,1352.26001
2001-02-07,1340.890015
2001-02-08,1332.530029
2001-02-09,1314.76001
2001-02-12,1330.310059
2001-02-13,1318.800049
2001-02-14,1315.920044
2001-02-15,1326.609985
2001-02-16,1301.530029
2001-02-20,1278.939941
2001-02-21,1255.27002
2001-02-22,1252.819946
2001-02-23,1245.859985
2001-02-26,1267.650024
2001-02-27,1257.939941
2001-02-28,1239.939941
2001-03-01,1241.22998
2001-03-02,1234.180054
2001-03-05,1241.410034
2001-03-06,1253.800049
2001-03-07,1261.890015
2001-03-08,1264.73999
2001-03-09,1233.420044
2001-03-12,1180.160034
2001-03-13,1197.660034
2001-03-14,1166.709961
2001-03-15,1173.560059
2001-03-16,1150.530029
2001-03-19,1170.810059
2001-03-20,1142.619995
2001-03-21,1122.140015
